year,month,make,model,sold,source
2016,1,BMW,i3,182,http://evobsession.com
2016,2,BMW,i3,248,http://evobsession.com
2016,3,BMW,i3,332,http://evobsession.com
2016,4,BMW,i3,814,http://evobsession.com
2016,5,BMW,i3,696,http://evobsession.com
2016,6,BMW,i3,608,http://evobsession.com
2016,7,BMW,i3,1479,http://evobsession.com
2016,8,BMW,i3,1013,http://evobsession.com
2016,9,BMW,i3,391,http://evobsession.com
2016,10,BMW,i3,442,http://evobsession.com
2016,11,BMW,i3,629,http://evobsession.com
2016,12,BMW,i3,791,http://evobsession.com
2016,1,BMW,i8,32,http://evobsession.com
2016,2,BMW,i8,54,http://evobsession.com
2016,3,BMW,i8,89,http://evobsession.com
2016,4,BMW,i8,130,http://evobsession.com
2016,5,BMW,i8,146,http://evobsession.com
2016,6,BMW,i8,169,http://evobsession.com
2016,7,BMW,i8,166,http://evobsession.com
2016,8,BMW,i8,145,http://evobsession.com
2016,9,BMW,i8,158,http://evobsession.com
2016,10,BMW,i8,199,http://evobsession.com
2016,11,BMW,i8,173,http://evobsession.com
2016,12,BMW,i8,133,http://evobsession.com
2016,12,Chevrolet,Bolt,579,http://evobsession.com
2016,1,Chevrolet,Spark,139,http://evobsession.com
2016,2,Chevrolet,Spark,216,http://evobsession.com
2016,3,Chevrolet,Spark,252,http://evobsession.com
2016,4,Chevrolet,Spark,419,http://evobsession.com
2016,5,Chevrolet,Spark,394,http://evobsession.com
2016,6,Chevrolet,Spark,359,http://evobsession.com
2016,7,Chevrolet,Spark,333,http://evobsession.com
2016,8,Chevrolet,Spark,292,http://evobsession.com
2016,9,Chevrolet,Spark,315,http://evobsession.com
2016,10,Chevrolet,Spark,260,http://evobsession.com
2016,11,Chevrolet,Spark,39,http://evobsession.com
2016,12,Chevrolet,Spark,17,http://evobsession.com
2016,1,Ford,Focus,66,http://evobsession.com
2016,2,Ford,Focus,81,http://evobsession.com
2016,3,Ford,Focus,110,http://evobsession.com
2016,4,Ford,Focus,81,http://evobsession.com
2016,5,Ford,Focus,54,http://evobsession.com
2016,6,Ford,Focus,54,http://evobsession.com
2016,7,Ford,Focus,58,http://evobsession.com
2016,8,Ford,Focus,75,http://evobsession.com
2016,9,Ford,Focus,82,http://evobsession.com
2016,10,Ford,Focus,73,http://evobsession.com
2016,11,Ford,Focus,66,http://evobsession.com
2016,12,Ford,Focus,101,http://evobsession.com
2016,1,Kia,Soul,81,http://evobsession.com
2016,2,Kia,Soul,60,http://evobsession.com
2016,3,Kia,Soul,79,http://evobsession.com
2016,4,Kia,Soul,139,http://evobsession.com
2016,5,Kia,Soul,120,http://evobsession.com
2016,6,Kia,Soul,134,http://evobsession.com
2016,7,Kia,Soul,179,http://evobsession.com
2016,8,Kia,Soul,153,http://evobsession.com
2016,9,Kia,Soul,217,http://evobsession.com
2016,10,Kia,Soul,190,http://evobsession.com
2016,11,Kia,Soul,179,http://evobsession.com
2016,12,Kia,Soul,197,http://evobsession.com
2016,1,Nissan,Leaf,755,http://evobsession.com
2016,2,Nissan,Leaf,930,http://evobsession.com
2016,3,Nissan,Leaf,1246,http://evobsession.com
2016,4,Nissan,Leaf,787,http://evobsession.com
2016,5,Nissan,Leaf,979,http://evobsession.com
2016,6,Nissan,Leaf,1096,http://evobsession.com
2016,7,Nissan,Leaf,1063,http://evobsession.com
2016,8,Nissan,Leaf,1066,http://evobsession.com
2016,9,Nissan,Leaf,1316,http://evobsession.com
2016,10,Nissan,Leaf,1412,http://evobsession.com
2016,11,Nissan,Leaf,1457,http://evobsession.com
2016,12,Nissan,Leaf,1899,http://evobsession.com
2016,1,Volkswagen,e-Golf,328,http://evobsession.com
2016,2,Volkswagen,e-Golf,198,http://evobsession.com
2016,3,Volkswagen,e-Golf,86,http://evobsession.com
2016,4,Volkswagen,e-Golf,326,http://evobsession.com
2016,5,Volkswagen,e-Golf,269,http://evobsession.com
2016,6,Volkswagen,e-Golf,248,http://evobsession.com
2016,7,Volkswagen,e-Golf,344,http://evobsession.com
2016,8,Volkswagen,e-Golf,454,http://evobsession.com
2016,9,Volkswagen,e-Golf,529,http://evobsession.com
2016,10,Volkswagen,e-Golf,407,http://evobsession.com
2016,11,Volkswagen,e-Golf,305,http://evobsession.com
2016,12,Volkswagen,e-Golf,443,http://evobsession.com
2016,1,Tesla,Model S,2300,http://evobsession.com
2016,2,Tesla,Model S,1700,http://evobsession.com
2016,3,Tesla,Model S,2000,http://evobsession.com
2016,4,Tesla,Model S,2300,http://evobsession.com
2016,5,Tesla,Model S,2000,http://evobsession.com
2016,6,Tesla,Model S,700,http://evobsession.com
2016,7,Tesla,Model S,3000,http://evobsession.com
2016,8,Tesla,Model S,3000,http://evobsession.com
2016,9,Tesla,Model S,3156,http://evobsession.com
2016,10,Tesla,Model S,2000,http://evobsession.com
